"Because of this Award, I am more...",CODE
likely to explore careers in computing,M
confident in my ability to program and be a member of the computing community. ,C
,
Confident.,
Motivated to keep exploring the CS field and confident in my ability.,M
Aware of computing opportunities for young women.,A
,
capable of filling a college resume,O
,
Interested in learning how to program.,I
,
Confident. ,C
"confident. At first, I did not think I was good at computing, or making a difference. However, this award encouraged me to keep going. ",C
,
confident,C
,
confident,C
,
,
confident,C
confident. ,C
,
Confident,C
,
"Motivated, Confident, Inspired",M
,
,
,
,
"confident and see myself as less inferior to men, since i am surrounded by an army of women with the same compassion and goals as me",C
confident in being a woman in the computer science field ,C
determined to work hard for myself and be present in the tech industry. ,M
"confident, interested in coding",C
confident,C
Confident in my abilities.,C
,
,
,
,
aware of my capabilities in computing. ,A
,
,
,
involved in my community ,CN
"confident, assertive and willing to try new things in the field of computing.",C
Motivated to pursue computer science ,M
,
,
"I suppose that it did encourage me to more seriously consider majoring in Computer Programming in college since I had previously had my mind set on Biomedical engineering, or at least looking at some of the more CS oriented branches of BME.",E
,
,
,
Encouraged to study computer science and make it a career,E
,
,
Motivated to help inspire girls younger than me and girls my age to learn robotics.,M
,
,
Respected by my teachers and peers.,O
,
,
,
,
Confident,C
,
Confident in my abilities as a computer science student. ,C
informed about information technology and opportunities out there for technology/computing/engineering careers.,A
Confident in myself and my abilities,C
Connected to other women with the same passions for computing and technology. ,CN
excited to pursue a computing career. ,I
Enthusiastic in computing and programming.,I
Confident in taking computer science classes in college ,C
,
,
interested in computing. ,I
,
,
,
,
,
,
,
,
  This award showed me that I really do have the potential to go into a computer science related career.  ,C
confidant that I belong in the CS community.,C
Self confident and like more computing ,C
,
confident about my abilities to change the community around me.,C
encourage to learn about the opportunities that are in the tech field.,E
confident in my abilities in technology,C
,
,
Confident that I am able to accomplish things despite my late knowledge on the subject.,C
confident in my abilities,C
,
confident,C
confident,C
encourages to apply for other scholarships and hackathons. ,E
interested in expanding my knowledge from robotics based more into the computing and programming side,I
involved in a community,CN
motivated to try my best in CS because there are so many women who have excelled (even though I have only personally met a few before NCWIT),M
,
Confident,C
Proud of myself,O
,
,
confidant ,C
Confident in my technology abilities.,C
Open to new ideas ,O
,
,
,
,
Active in the coding community. ,CN
,
interested in pursuing a computing or technology related career. ,I
Eager to pursue a career in CS and build a network in CS!,M
Confident,C
Interested in Computing and the things it has to offer.,I
,
,
confident in my computing abilities. ,C
,
,
,
,
Confident in my STEM abilities,C
confident in procuring what I want to do,C
confident in my ability to go into a computing field/job,C
confident,C
Motivated to keep exploring computing and making it as a career and keep learning new skills within computing.,M
,
Confident ,C
,
,
Confident ,C
Involved in computing classes,CN
Confident in my abilities and motivated to try new things. ,CN
excited about the growing amount of women being encouraged to be involved in technology,M
,
aware of the need for girls in computer science. ,A
,
,
confident,C
,
,
Connected to successful people in computing careers.,CN
,
,
,
aware of other female participation in computing. ,A
,
Confident in my abilities.,C
Confident in my robotics and technology accomplishments ,C
determined to join the computing workforce,M
,
Interested in exploring computer programming classes. ,I
Confident and passionate about computing.,C
,
interested in computing.,I
interested in connecting with like minded women that are interested in technology.,I
,
,
,
confident that women in computing are able to succeed despite obstacles present due to gender.,C
Confident,C
Confident in being good at computing.,C
confident in myself,C
Likely to pursue computing either as a major or career,M
,
,
Encouraged to follow my passion in technology and more confident in my abilities to lead as well as compute.,E
interested in learning about computing/technology careers,I
,
,
Confident in my abilities in the technology field. ,C
My interest and self esteem of wanting to be in digital game industry and work with coding had increased just a little. ,C
,
,
Excited about computers ,M
confident,C
,
cool,O
"confident in myself and my computing abilities, as well as my ability to pursue computing in my education,",C
,
Confident in my ability to be part of a community of women in technology.,C
,
,
 confident to apply to other programs for computing.,C
,
aware of my computing ability. ,A
Aware of the various types of computing careers there are,A
Positive in what I set myself to accomplish because I know I can do it now even if I do it my way.,C
confident,C
,
certain of my desire to pursue a technological field. ,C
,
self-conscious of how new I am in the community,B
,
Confident in my ability to enjoy the technology community,C
Confident in my abilities as a woman in IT. ,C
Confident that I can fit it as a woman in computer science.,C
Confident in my computing aspirations.,C
confident in my dreams and aspirations and in my ability to reach them and become successful in computing.,C
Confident in my computing abilities and passionate about learning more. ,C
,
,
Confident ,C
secure in myself,C
influenced to study computing,E
confident,C
encouraged to pursue computing,E
accomplished,O
,
confident,C
Going to start anall girls middle school Engineering program.,M
,
,
engaged with the women in computer science community.,CN
,
confident in myself,C
,
"Because of this award, I am more eager to pursue my career as a computer science and technology major at Kutztown University. ",M
,
excited to pursue computer science in college,M
inclined to accomplish many things to show my skills and dedication in computing (and more inclined to challenge myself when studying for a career in computing).,M
,
aware,A
,
Motivated to work harder to do well in computer science,M
Confident about what I really want to be in life,C
excited to continue coding!,M
,
confident in my ability to work in the computing field.,C
"Confident in my abilities and my right to call myself a ""computing person"". I am also more driven to do more computing this year!",C
confident.,C
confident in my coding ability and how it can change the world. ,C
Confident that I can do anything I want to.,C
Confident,C
Confident in myself,C
Confident that I can successful in finding a career for myself in computing and that I will be able to find a good relationship network there.,C
determined to major in computer science,M
,
,
overwhelmed with how far behind I am from my peers,B
Connected with other women in stem,CN
confident and proud of my computing skills. ,C
Confident in my choice in pursuing a major in computer science in the fall at Miami University,C
,
cognizant of my accomplishments and thus more confident in my abilities.,C
Confident in my computing skills,C
Confident,C
,
confident in my computing and leadership abilities.,C
I don’t think I really gained anything from this award. ,B
confident ,C
"Confident in myself about actually calling myself a computer whiz, and more enthusiastic to talking to girls I don't know and share opportunities with them. ",C
,
Confident in my abilities ,C
motivated,M
Interested in applying for other computing scholarship opportunities,I
Encouraged to learn about programing ,E
open to exploring the field of computer science/ technology as a possible major in college as well as an actual career !,E
,
Confident in myself,C
,
Eager to interact with other people interested in computing.,M
,
Interested in pursuing a career in computer science ,I
,
,
,
"Because of this Award, I am more confident of myself regarding my skills and worth to my robotics team.",C
connected.,CN
Likely to continue in computer work,M
aware of the opportunities that have opened up to women specifically.,A
confident in my identity as a young woman in STEM ,C
,
confident in my computing skills.,C
Self confident in my abilities as a woman who might want to pursue computer science in some shape or form,C
Involved in computer related activities,CN
,
confident in my computing abilities and developed to become a leader,C
Confident in my abilities as a woman in stem. ,C
Confident in my computing capabilities. ,C
"I am more likely to pursue an education in computer science, and I am more likely to share this opportunity with the girls at my school.",M
,
,
,
confident,C
Excited to pursue a career. ,M
,
confident that I belong in the technology community.,C
nothing.,B
,
strongly encouraged to pursue a career in the IT field.,E
Confident in my ability to study and work with Computer Science.,C
confident in my skills,C
inclined to do something else,B
Informed.,A
Confident in my abilities ,C
open to taking new opportunities to further my knowledge and involvement in computing.,A
,
,
confident in my computing abilities.,C
,
Likely to apply for it again in the future and feel great to have been recognized for my accomplishments in computing,M
Confident in my ability to be successful in a computing career ,C
,
Prepared to share my accomplishments with colleges. ,O
,
,
,
,
,
,
Confident that I could be ok in computing,C
,
,
confident,C
Motivated to succeed in the computing world.,
,
confident in my computing abilities,C
,
aware of my accomplishments and eager to pursue my intended career. ,A
Aware of my abilities and how computing is a very widely used tool and is aspired by more women than I thought.,A
,
,
,
confident.,C
,
motivated to pursue my computing interests.,M
,
,
Likely to get into college,O
,
,
,
Excited to move on,O
Involved in improving young women’s lives in tech. ,M
,
Confident ,C
,
,
,
aware of a group of women who are working towards success in the CS field.,A
Prideful.,O
"Apt to re enter for another award, as well as do more things in computing to make my application more promising ",M
confident that I can make a positive impact with computing.,C
Determined and confident in going into computer science. ,C
Confident.,C
inspired to become involved in teaching STEM to younger students so they come interested in these careers. ,M
Confident with my ability to succeed in a computing career.,C
,
,
,
,
confident in my computing abilities. ,C
"Confident, and more motivated. Also more informed on the requirements people interested in technology should have. ",C
,
Aware of my talent for computing skills.,A
"fortunate, because I'm now part of a network of women who can help each other grow, find jobs in the real world, and have a positive impact on society.",CN
confident in my computing abilities and more aware of what is to come next in college.,C
aware about opportunities and career paths.,A
Geared towards computeing in college ,O
inspired to give back to the community of female computer scientists.,M
Confident ,C
Likely to get a job for a good resume.,O
Motivated ,M
"Confident about my computing skills, more willing to speak out and reach out to others, and spread computing knowledge to the community. ",C
excited about computer science and meeting like minded people. ,M
,
,
confident in my worth as a young woman in computer science.,C
passionate about my pursuits in STEM fields.,I
Dissapointed by the poor organization of NCWIT. ,B
"aware of how toxic females can be just because they have an interest in something that could be considered ""not traditional for women""",A
Confident,C
confident,C
Confident in my computing ability,C
,
sure that I want to grow computing and show girls like me it is okay to like computing ,C
Confident,C
,
,
Encouraged,E
confident in my computing abilities,C
,
,
invested in encouraging girls at my school to take computer science class or just STEM classes,M
,
,
aware of women in computing and the power we have as women in STEM.,A
Aware,A
Confident ,C
,
Confident in my goal of perusing both computer science and ethics as a field of study. ,C
Open to think about computing careers ,I
,
inspired to pursue a computer science degree; confident that I can do this.,M
decorated,O
Excited to major in Computer programming,M
Confident in my abilities and my position as a programmer and leader.,C
,
,
,
confident in my abilities in computing.,C
,
,
excited to see what computing can do for me in the future. ,M
,
Confident ,C
confident,C
interested in a career involved in technology.,I
,
Confident and informed,C
,
confident,C
likely to prove myself in my future career choices.,O
"Confidence and not ashamed of being a woman in technology. I feel like now I have so much to offer, and I should be proud of myself. No one in my school knows anything about the entire thing, and it makes me feel unique to be a part of something really special in that way.",C
confident in my Regional Winning attributes,C
proud of myself and all that I have accomplished. ,O
This award did not really affect me that much,B
Confident in myself and my abilities in computing.,C
Confident and determined to gain success in my field.,C
,
confident in my computing skills.,C
,
,
interested in computing,I
,
confident,C
confident on my abilities as a programmer and more motivated to create an impact on STEM by supporting the female community.,C
Interested in computing,I
Prepared for my future and motivated to perform at my fullest abilities.,M
,
confident in my abilities.,C
,
Confident and driven,C
,
Confident,C
confident in pursuing an computer engineering major.,C
connected to other girls my age with similar goals. ,CN
,
Confident and motivated ,C
,
,
Aware of my computing abutilies and accomplishments,A
Involved with other women in technology ,CN
interested in diving deeper into the world of computing.,I
,
open to motivating other young girls in my community about STEM.,I
"Aware that women in cities have more opportunities than those in rural towns, due to the selection of winners. ",A
,
Determined to help younger girls discover their passion for computing ,M
Aware of how many girls are going through the same processes. I love the Facebook page because there is always someone who has done whatever you are asking about-- and they give really thoughtful feedback!,M
confident in my computing skills,C
,
"Confident, and feel like getting a degree in computer science is more manageable.",C
Confident with pursing a career in computer science.,C
open to exploring computing opportunities,I
decorated,O
Confident in the community of women supporting me,C
Confident in my abilities.,C
confident in my abilities.,C
motivated and encouraged to pursue computing.,M
Open about my computing ability to my peers,O
confident ,C
Confident and motivated ,C
,
Confident about computing careers  It has motivated me so much to explore more computer science courses ,C
,
,
,
,
Aware,A
Confident,C
,
,
,
confident in my skills.,C
proud,O
,
"inclined to major, rather than minor, in computer science. ",E
,
confident in my abilities,C
connected,CN
Open to STEM/ Computer Science fields.,I
,
,
,
proud of my computing successes. ,O
Excited by the number of women in the community.  ,M
Motivated to continue my path in computing and STEM,M
self-confident ,C
Confident in computing skills,C
confident that I am not the only one,C
Aware about the importance of technology now and in the future.,A
,
,
,
confident in myself as my skills.,A
,
"confident, inspired, and encouraged to do more in the women-in-stem community.",A
Confident in my ability to compute. ,A
motivated to invite others from my school to apply.,M
excited about the NCWIT community.,M
inspired to enter a computing field.,E
encouraged to accomplish more in the fields of STEM because of all the inspirational ladies I have met through this program,E
confident in my ability to code. ,C
,
confident ,C
aware of the different opportunities NCWIT has to offer.,A
Experienced,O
confident.,C
,
Self confident ,C
confident.,C
reassured of my abilities and future in the field of computing.,C
Confident. ,C
,
