Respondent ID,Is there anything else you would like to share with us regarding the Award for Aspirations in Computing?,CODE
6928372992,"Thank you so much for the great opportunities that you provide us with, they are really cool.",ty
6921763051,Not really!,no
6921272218,,
6920022402,,
6918387583,,
6918090577,It was an eye-opening application that helped me realize all that I have done and can do.,in
6917209300,,
6916427526,nope,no
6916355433,,
6916312467,,
6915654732,,
6915634456,Thank you! ,ty
6915519190,,
6914998059,,
6914795754,no,no
6914671533,,
6914558175,no,no
6914484702,,
6914260010,,
6914217345,,
6914194106,no. ,no
6914188745,,
6914157965,,
6914067094,,
6914046920,No,no
6914029022,,
6913941002,,
6913898599,,
6913885430,,
6913848483,N/A,no
6913803879,N/A,no
6913790561,,
6913783414,,
6913747695,Thank you!! I especially appreciated the opportunity to apply for the AspireIT grant.,ty
6913728836,"I feel that a Certificate of Distinction only resulted in disappointment upon reading the email throughly, and the survey itself continued to make me feel inferior by asking questions about event ceremonies and communities that I did not participate in.",p
6913722087,,
6913717754,,
6913652652,,
6913626882,,
6913618120,,
6913608808,,
6913601998,,
6913591596,,
6913573534,no,no
6913535134,,
6913530201,Thank you for providing an opportunity for young females like this. ,ty
6913527301,,
6913522488,,
6913521380,"The questions for the application itself were pretty great as it was a nice opportunity to reflect upon my experiences with CS, and I really did like the opportunity to rant about P vs NP in that one question about what would you like to be able to find the answer to. :)",comp
6913520005,,
6913515768,,
6913515052,,
6913511366,,
6913503441,,
6913500019,,
6913497548,Thank you for all of your hard work to improve the tool kit and everything that NCWIT has been doing to increase the amount of girls involved in STEM!,ty
6913497050,,
6913496528,,
6913488866,No,no
6913488075,,
6913487877,,
6913487771,,
6913156203,,
6913146676,,
6912367973,,
6912074461,You guys are doing cool things. Keep it up. ,comp
6911673304,,
6911325321,,
6911089024,It's a wonderful way to encourage females to pursue computing and technology career options. ,comp
6910952134,N/A,no
6910894169,No.,no
6910467425,,
6910051706,,
6909875987,,
6909863736,No,no
6909632647,,
6909594735,,
6909580211,,
6909572105,,
6909301950,,
6909260821,,
6909257780,,
6909001177,,
6908908024,I can’t think of anything at the moment but if I do I will reach out! ,no
6908799531,No,no
6908790891,No,no
6908765059,I did not receive a notification that I won an honorable mention and did not go to the event to receive the award. I would have love to have gone if I did know. ,p
6908693642,"I am grateful for the opportunity to run AspireIT this summer. I am also grateful for an organization like NCWIT that promotes equality of women in technology. The mission is incredibly important, relevant and necessary for the advancement of maximizing my own and other girls personal capital.",comp
6908686890,,
6908667310,N/A,no
6908623164,,
6908603410,,
6908597775,,
6908563267,Thank you for these opportunities!,ty
6908470534,,
6908442349,thank you  ,ty
6908287453,"I would like to say thanks for tis really cool opportunity. Also, maybe promote this program more so it becomes more widely well known.",ty
6908287454,"I would like to say thanks for tis really cool opportunity. Also, maybe promote this program more so it becomes more widely well known.",ad
6908247754,,
6908228263,Sometimes the emails were confusing and I was worried I was missing something I was supposed to do. I think the same website used for the application could be used throughout the year to keep a list of things to do in a cleaner fashion than long emails.,ad
6908213403,I love this community! It has brought me an innumerable amount of opportunities and I am beyond grateful to be a part of it.,comp
6908165220,,
6908090298,,
6908063233,,
6908010862,,
6907973171,,
6907962614,,
6907937692,n/a,no
6907925611,,
6907923623,,
6907911305,,
6907902523,,
6907900741,,
6907900653,,
6907896619,Thank you for your wonderful support for women in tech! ,ty
6907896461,,
6907892662,"I think this award is a really great opportunity for girls to become further interested in computing, especially with the chance to create a program for others through AspireIT afterwards. ",comp
6907881692,"Nope - but thank you so, so much for everything!",ty
6907876816,,
6907871241,N/A  ,no
6907868534,,
6907860907,,
6907857609,,
6907854870,,
6907853937,,
6907850320,,
6907849391,,
6907847386,,
6907837192,no,no
6907834579,,
6907832612,,
6907825540,N/A,no
6907823749,,
6907823734,,
6907818776,,
6907818531,,
6907818445,,
6907817807,My teacher and I found out that her recvommendation letter was not even read during the first round of review because of the way the process is set up. I find this both a waste of her time and slightly illogical. ,p
6907809021,Thank you so much! :),ty
6907806931,,
6907806461,,
6907803781,none,no
6907801521,,
6907800532,,
6907800005,not at the moment,no
6907799745,,
6907796740,,
6907795779,"I think it is important to show that men are not necessarily against women in technology. Many women actually don't go into computing because other women are competitive and hold them back. I noticed that a lot of the girls bragged about their skills, which can discourage those who haven't had the opportunities they have. I think an emphasis should be placed on simply helping women to learn how to navigate computing careers and how to deal with other women who hold them back, as well as how to appropriately communicate your skills without discouraging others from the field.",ad
6907795553,,
6907794839,,
6907794792,,
6907794338,Not really. ,no
6907792680,,
6907792381,Thank you so much! I am so blessed and appreciative of receiving this honor.,ty
6907791042,Maybe include something like an award or section that’s more on the hardware/mechanical engineering aspect in robotics ,ad
6907791007,Thank you,ty
6907789128,,
6907786783,,
6907783890,Thank you for the opportunities!,ty
6907783538,,
6907780272,No.,no
6907779940,I am happy that this opportunity allows women to see their potential in computing. Thank you!,comp
6907779372,,
6907779108,,
6907778999,,
6907778730,N/A  ,no
6907778644,,
6907778640,Thank you for inspiring me to take computing more seriously as a career path.,ty
6907778314,,
6907778083,,
6907777917,,
6907767814,,
6907704371,I'm really sad that I didn't get to do any of the job shadowing opportunities. I wish there was some way i could do one during the school year. I couldn't do the ones provided due to the summer camp I was accepted into. The award was an honor and I hope to apply again!,ty
6907704372,I'm really sad that I didn't get to do any of the job shadowing opportunities. I wish there was some way i could do one during the school year. I couldn't do the ones provided due to the summer camp I was accepted into. The award was an honor and I hope to apply again!,p
6907178185,,
6905443480,,
6905342048,,
6905312025,Because I won this award I was invited to represent Alaska at the Congress of Future Scientists and Technologists. So thank you NCWIT!!,ty
6905312026,Because I won this award I was invited to represent Alaska at the Congress of Future Scientists and Technologists. So thank you NCWIT!!,in
6905186584,I feel happy that I got the certification of distinction. I want to say thank you for giving me the opportunity and help me find a path somewhere in computer science. ,ty
6905075870,,
6905065690,,
6905008497,No,no
6904905803,,
6904321680,,
6904290872,,
6904200694,No - it was a wonderful ceremony and a great honor!,comp
6904093938,,
6903982059,,
6903742426,,
6903659739,,
6903629045,"Thank you for all you guys do and for offering for many girls to be involved in this. The awards ceremony was amazing and fun. I was a bit confused about the fact the website said an award affiliate would receive an award for herself and her school, because at the event we only received our own award. I am so grateful for this opportunity. Thank you!",ty
6903629045,"Thank you for all you guys do and for offering for many girls to be involved in this. The awards ceremony was amazing and fun. I was a bit confused about the fact the website said an award affiliate would receive an award for herself and her school, because at the event we only received our own award. I am so grateful for this opportunity. Thank you!",p
6903474668,,
6903415123,no,no
6903330313,"At the regional ceremony there was a panel discussion, which I did not find as engaging or helpful as the mentor dinner. I think it would be better if less time was spent on a panel and more time spent talking directly to the mentors",ad
6903179298,"While it didn't inspire me to follow a computer science career, it made programming less scary and made me want to incorporate it more into my mechatronics major.",comp
6903153105,Cool opportunity,comp
6903147140,,
6903146671,N/A,no
6903126115,,
6903108910,I feel disappointed in how well I did ,p
6902968618,,
6902964466,In general I did like the application process,comp
6902754573,Don’t stop providing these awards. They are inspirational and an honor. ,comp
6902728016,"Just thank you for doing this, it's been a cool experience to watch my friends participate, and to be able to do so myself.",ty
6902546610,,
6902517561,It was an unforgettably positive and empowering experience that made me extremely excited for the years to come in my computing studies and career. I loved being able to socialize with women in different technology careers and hearing about their journeys and how they incorporated other interests they had with their technology studies.,comp
6902506777,,
6902444153,,
6902419184,,
6902407277,,
6902303239,It's the best!,comp
6902270497,no,no
6902195807,Thank you! and great job!,ty
6902126730,No,no
6902086690,none,no
6902066379,,
6902031990,,
6901995273,,
6901935225,,
6901858488,,
6901857854,,
6901829695,,
6901785635,,
6901752814,,
6901660794,All I want to say is thank you. This award means a lot to me and the rest of my family. ,ty
6901569925,,
6901566134,,
6901565025,,
6901563988,no,no
6901556354,just send me more information ,p
6901528067,,
6901522186,N/A,no
6901517822,,
6901515578,nope :),no
6901507704,,
6901466667,,
6901461821,It is a wonderful opportunity and I am grateful to have found it.,comp
6901461206,I think you should try to advertise this program more. I really wouldn't have known about it if it weren't for my mentor that I met through an out-of-school activity. Perhaps through technology/computing programs such as Technovation or FTC. ,ad
6901447171,Thank you for this amazing opportunity.,ty
6901442604,No,no
6901441954,,
6901437322,Please don't make award ceremonies during AP exams. Almost all the girls are taking exams and the placement of the award ceremony makes it difficult to attend! ,ad
6901415143,Thank you for the opportunity to have our awards and gift boxes delivered to those who could not attend the ceremony.,ty
6901402357,The NCWIT support team is very prompt with answering emails and providing encouragement!,comp
6901330977,,
6901292493,,
6901285716,"I still have not received my trophy from several years ago ; I made a post about this and contacted the person to get my trophy back as told to, but nothing was done about this--I am disappointed",p
6901276446,,
6901274138,"It would be nice if the awards ceremonies were more regulated. I know some states had really nice events with games, social events, and prizes - but ours (Northern Illinois) was just a quick snack/buffet social, the awards, pictures and prize bags, and was over within about an hour. It would have been nice for there to have been some kind of interaction game to meet the other girls at the ceremony. ",ad
6901274108,"In the email about the Certificate of Distinction mentioned that I would receive a certificate and a prize bag, but I never received either of them.",p
6901273339,,
6901273166,,
6901270788,The ceremony should include more of an opportunity for students to network with the speakers. There should also be some cooler gifts for the affiliate honorable mentions (just a suggestion),ad
6901269879,,
6901269003,,
6901266992,,
6901264217,"It’s be nice if you emailed me more when something happened to me. Also, I don’t like Facebook too much. ",p
6901260772,,
6901258147,,
6901257716,,
6901256729,,
6901253927,No.,no
6901252604,No thank you,no
6901252072,,
6901248287,I am very grateful for this award and I promise that I will continue to inspire children (especially girls) to become more knowledgeable in computing !,comp
6901247767,,
6901246082,N/A,no
6901245646,,
6901242851,,
6901242435,,
6901231909,,
6901230091,,
6901229746,,
6901226728,,
6901224678,Thank you for choosing me as a regional honorable mention. I really didn’t expect to receive anything.,ty
6901224399,,
6901222668,No,no
6901222524,,
6901220373,Thank you for this wonderful opportunity!,ty
6901220358,,
6901214122,No,no
6901211635,I thought the ceremony was well done and an enjoyable experience. It was nice to be honored and see a room full of other young women like myself ,comp
6901211433,"If we could have more diversity in speakers (not as in ethnicity, but as in profession eg person with social/artistic/humanities-based job with hints of technology so that the speakers better relate to the awardees. Because a lot of us are high schoolers who aren't limited to coding careers, so establishing a relevancy of technology might connect us with it)",ad
6901211324,,
6901207354,,
6901207158,,
6901204253,I would love if I could be apart of this community!!,p
6901199384,,
6901196964,,
6901195133,,
6901191246,,
6901189100,,
6901188651,,
6901180565,,
6901174262,N/A,no
6901174026,Thank you for the opportunity.,ty
6901173428,,
6901168428,No.,no
6901168362,"Not really, thank you for giving the community good opportunities to provide feedback.",ty
6901166608,,
6901164984,"the email I received about ""being good enough for the actual award but not selected for funding limits or event space"" is a lowkey slap in the face that I did not appreciate. I think y'all could have worded that a lot differently/better, and although I am thankful to have at least gotten the certificate, it truly just made me become less interested in computer science since I have the ""same award"" but I'm not good enough to be ""chosen"" for recognition. I strongly suggest wording the email differently for next year or finding an event space with more space...",p
6901162817,No.,no
6901161378,No,no
6901160493,I really appreciate the program because it can inspire many young women to become more involved in computing and helping their community.,comp
6901154223,,
6901150575,,
6901150065,,
6901148185,,
6901147193,There were quite a few men involved in the ceremony and they opened it. That was disappointing. If it is a ceremony dedicated to celebrating women and recognizing successful women then why were so many men involved,p
6901147155,,
6901144353,,
6901142881,Thank you for making an award and building a community like this!,ty
6901141220,,
6901140213,,
6901140070,,
6901138353,,
6901138066,,
6901137800,,
6901137354,,
6901136688,,
6901136301,,
