Respondent ID,"If you did not attend an event, please let us know why.",CODE
6928372992,I don't think that I was supposed to go.,dk
6921763051,I wasn't recognized until after the events happened and I don't think that I qualified to attend any of them.,ra
6921272218,,
6920022402,I was not asked to,na
6918387583,There was not enough room for me.,p
6918090577,I did not know they were occurring. ,dk
6917209300,I did not attend an event due to any Distinction awardees being informed after the events and not invited. ,ra
6916427526,,
6916355433,Didn't receive email follow-up about RSVPing,p
6916312467,I did not attend any events because I had a hectic senior year with figuring out where to go for college.,con
6915654732,"I had sent an RSVP, however a last minute emergency prevented us from going. I know the event was still very amazing!",con
6915634456,,
6915519190,,
6914998059,,
6914795754,,
6914671533,,
6914558175,Because I was a Certificate of Distinction winner,nq
6914484702,,
6914260010,Honestly didnt know they had one.,dk
6914217345,,
6914194106,I did not know about it. ,dk
6914188745,,
6914157965,Could not attend,con
6914067094,I had another ceremony the same time,con
6914046920,,
6914029022,Had a prior appointment.,con
6913941002,I was too busy. ,con
6913898599,,
6913885430,,
6913848483,,
6913803879,,
6913790561,,
6913783414,,
6913747695,Schedule conflicts,con
6913728836,There is no event ceremony for Certificate of Distinction winners.,nq
6913722087,It was not near me.,tp
6913717754,,
6913652652,Was not invited to either,na
6913626882,Prior commitments ,con
6913618120,There are no events for a certificate of distinction. ,nq
6913608808,,
6913601998,,
6913591596,,
6913573534,prior engagement,con
6913535134,"I was working as a United States Senate Page in Washington, D.C., and could not make it to Connecticut for the awards event.",con
6913530201,I never received any notice for any event ,na
6913527301,My family did not have the time to drive to a faraway city.,tp
6913522488,My prom was that night,con
6913521380,I may be mistaken but I don't believe that CoD winners attend any of the award events.,nq
6913520005,,
6913515768,,
6913515052,It coincided with the day of SAT Subject tests.,con
6913511366,,
6913503441,I did not get an invitation to either event.,na
6913500019,Previous engagement,con
6913497548,,
6913497050,,
6913496528,Unable to. ,con
6913488866,,
6913488075,,
6913487877,Had a previous engagement.,con
6913487771,,
6913156203,,
6913146676,Was not invited,na
6912367973,,
6912074461,I was not invited. ,na
6911673304,,
6911325321,,
6911089024,A family emergency ,con
6910952134,I had a math competition the day of the award ceremony. ,con
6910894169,I was not aware of the events.,dk
6910467425,,
6910051706,,
6909875987,,
6909863736,Didn't know about any events and don't have the money to go.,dk
6909632647,I was out of town and was studying for finals.,con
6909594735,,
6909580211,,
6909572105,,
6909301950,I was attending school. ,con
6909260821,I did not know I had won until a while after the event.,ra
6909257780,had conflicts that day,con
6909001177,,
6908908024,,
6908799531,,
6908790891,Other college prep I had signed up before to attend.,con
6908765059,I did not know I received the award and did not get the email telling me to go to the event ,p
6908693642,I was traveling for a school event.,con
6908686890,,
6908667310,Was not invited/had volleyball tournaments,na
6908623164,,
6908603410,,
6908597775,I don’t think that I was invited.,na
6908563267,,
6908470534,,
6908442349,"Distance was too far from home, and had conflicting schedule with a large dance performance.",tp
6908287453,,
6908247754,I never received an email regarding a NCWIT Award event. ,na
6908228263,CoD were not invited (that I know of),nq
6908213403,,
6908165220,,
6908090298,,
6908063233,Coinciding plans on same day,con
6908010862,,
6907973171,Was working.,con
6907962614,I had another event that day.,con
6907937692,,
6907925611,,
6907923623,I had a family emergency ,con
6907911305,,
6907902523,,
6907900741,,
6907900653,I only received the certificate of distinction so I assumed I shouldn’t go. ,nq
6907896619,,
6907896461,I was not invitied?  ,na
6907892662,,
6907881692,"I unfortunately had a conflict the same night (a school event), but I really wish I could have gone.",con
6907876816,,
6907871241,"I live on the east side, and was not invited.",tp
6907868534,I had school,con
6907860907,,
6907857609,Conflict with work. ,con
6907854870,,
6907853937,SAT test on same day,con
6907850320,,
6907849391,,
6907847386,It conflicted with the SAT,con
6907837192,,
6907834579,It wasn't at a very convenient time and the program for the night wasn't something I was very interested in attending,ni
6907832612,,
6907825540,"I couldn't make it, I had to visit the college that I'm going to attend.",con
6907823749,I was busy that day.,con
6907823734,,
6907818776,,
6907818531,,
6907818445,No way to get to North Carolina,tp
6907817807,I was not invited nor did I receive my award package :(,na
6907809021,,
6907806931,I received no information on prize packages or award events.,na
6907806461,,
6907803781,My scheduling. ,con
6907801521,,
6907800532,Was not invited to attend,na
6907800005,was not available,con
6907799745,,
6907796740,,
6907795779,Was not invited as a Certificate of Distinction Recipient.,nq
6907795553,,
6907794839,,
6907794792,,
6907794338,It was on the same day as the SAT.,con
6907792680,"I was not even aware that my award category was supposed to attend an event. If I was supposed to attend, that information should be communicated better next time. ",dk
6907792381,I was not invited by the local chapter.,na
6907791042,I had end of trimester testing,con
6907791007,,
6907789128,I had the stomach flu.,con
6907786783,I didn’t know about it and was more focused on school and getting a job. ,dk
6907783890,,
6907783538,,
6907780272,I wasn't required to attend and also lack of transportation.,tp
6907779940,Was out of town,con
6907779372,,
6907779108,didn't get a good award,p
6907778999,,
6907778730,,
6907778644,,
6907778640,,
6907778314,,
6907778083,I wasn't invited to an award event,na
6907777917,No event for CoD winners,nq
6907767814,,
6907704371,I only received a CoD.,nq
6907178185,I was not available.,con
6905443480,,
6905342048,,
6905312025,,
6905186584,"I did not attend an event, either because of school or other events happening outside of school and family. ",con
6905075870,,
6905065690,I had a previously scheduled family event.,con
6905008497,I wasn't invited to an event. ,na
6904905803,,
6904321680,,
6904290872,,
6904200694,,
6904093938,,
6903982059,"I did not receive much information about the logistics of the event, who would be honored, or who would be attending.",p
6903742426,,
6903659739,,
6903629045,,
6903474668,,
6903415123,I couldn't make it to the event that day and also didn't completely understand that I had won an award - it was not made very clear. ,p
6903330313,,
6903179298,,
6903153105,Too far away,tp
6903147140,My award did not allow for me to go to an event.,nq
6903146671,I was unable to attend given the fact I needed to take the SAT on June 2nd. ,con
6903126115,,
6903108910,I don't think I was invited,na
6902968618,,
6902964466,I was a bit overloaded with schoolwork at the time,con
6902754573,I was not invited. ,na
6902728016,I was not invited.,na
6902546610,I went to my high school's graduation ,con
6902517561,,
6902506777,,
6902444153,Too far,tp
6902419184,I had a mandatory AP exam practice.,con
6902407277,,
6902303239,I was graduating high school on the same day as the regional ceremony.,con
6902270497,I was unaware of when it was. ,dk
6902195807,,
6902126730,My recommender didn't fill out my recommendation in time so I just got Regionally Honorable Mention while my friends who had less experience than me in programming won National Honorable Mentions so,nq
6902086690,,
6902066379,Other commitments ,con
6902031990,"Was busy with work and school, could not make it at all, but I have attended all the other events. ",con
6901995273,,
6901935225,,
6901858488,Not invited ,na
6901857854,,
6901829695,,
6901785635,,
6901752814,,
6901660794,"I received the Certificate of Distinction, and was told in the email that I would not be attending a ceremony. ",nq
6901569925,,
6901566134,Prior Committment,con
6901565025,The national award ceremony was too far away from home,tp
6901563988,I did not have the time nor the resources to get there.,tp
6901556354,Didn't know I had to? ,dk
6901528067,,
6901522186,I did not know they were happening.,dk
6901517822,I attended an event :),
6901515578,I did not win an opportunity to attend.,nq
6901507704,,
6901466667,,
6901461821,I was sick. I would really have liked to go but was unable to.,con
6901461206,During the school year I am often busy not only with academics but also after school activities. I simply didn't have the time. ,con
6901447171,I was not invited.,na
6901442604,I had graduation rehearsal ,con
6901441954,It conflicted with my schedule ,con
6901437322,,
6901415143,"I was part of a school play, and I would not be allowed to perform if I was to attend the trip on Friday. The award ceremony on Thursday conflicted with the performance time. If I backed out of the show, I would be excluded from being cast in any future school shows.",con
6901402357,I had other school commitments on the days of the events.,con
6901330977,,
6901292493,,
6901285716,,
6901276446,,
6901274138,,
6901274108,I was not invited as I was just a certificate or distinction recipient.,nq
6901273339,,
6901273166,,
6901270788,,
6901269879,I was unable to attend as I had a migraine,con
6901269003,,
6901266992,I had a basketball tournament that I needed to be at.,con
6901264217,I never got an email for the event. ,dk
6901260772,time change interfered with scheduling,con
6901258147,,
6901257716,,
6901256729,,
6901253927,I was not given any information.,dk
6901252604,"I wanted to attend the regional one, but couldn’t because of sports",con
6901252072,I was in vacation during that time ,con
6901248287,The award that I received did not allow me to attend the award event.,nq
6901247767,I already had a commitment that night,con
6901246082,Unable to travel to NYC on a school day!,tp
6901245646,,
6901242851,AP physics exam,con
6901242435,,
6901231909,,
6901230091,,
6901229746,,
6901226728,,
6901224678,I became very sick the day before and felt like it would be better for myself if I stayed home. My sponsor as able to receive my award on my behalf.,con
